LOCALITY,LOCALITY_TYPE,LOCALITY_ID,LATITUDE,LONGITUDE,STATE_CODE,Number_of_checklists
Sweetwater Wetlands,H,L208918,32.278549,-111.022495,US-AZ,16307
Sweetwater Wetlands Park,H,L2620730,29.6193055,-82.3285764,US-FL,7854
Green Cay Wetlands & Nature Center,H,L246929,26.4861584,-80.1607561,US-FL,6555
Wakodahatchee Wetlands,H,L143084,26.4781984,-80.144738,US-FL,4925
Fernhill Wetlands (general),H,L163529,45.5064875,-123.0851855,US-OR,4229
Sedona Wetlands Preserve,H,L1092125,34.829,-111.8964,US-AZ,3847
Koll Center Wetlands,H,L807500,45.4562776,-122.7911854,US-OR,3366
"""Viera"" Ritch Grissom Memorial Wetlands",H,L376186,28.228577,-80.7604659,US-FL,3137
Kachina Wetlands,H,L264663,35.1096843,-111.6895866,US-AZ,3041
Edinburg Scenic Wetlands WBC (LTC 061),H,L249889,26.2905822,-98.1351909,US-TX,2867
Orlando Wetlands Park,H,L452007,28.5753263,-80.9966826,US-FL,2574
Stone Harbor Blvd--The Wetlands Institute,H,L274556,39.0608166,-74.7726134,US-NJ,2430
Baker Wetlands--East Restoration,H,L3536090,38.9208135,-95.2166927,US-KS,2323
KCP&L Wetlands,H,L209591,38.8014319,-94.9419916,US-KS,2280
Las Vegas Urban--Clark County Wetlands Park,H,L160294,36.1006947,-115.022462,US-NV,2189
Rio Grande Nature Center SP--Candelaria Wetlands,H,L839340,35.1297718,-106.6816235,US-NM,2115
Smith and Bybee Lakes--Wetland Interlakes Trail,H,L3121366,45.616676,-122.7266407,US-OR,2099
Ohio State University--Wetlands,H,L365781,40.0196614,-83.0187035,US-OH,1974
Lincoln Saline Wetlands Nature Park,H,L983536,40.8225945,-96.7281926,US-NE,1848
Jackson Bottom Wetlands Preserve,H,L159584,45.505,-122.9889,US-OR,1832
Vanport Wetlands,H,L714063,45.598966,-122.6880813,US-OR,1761
Theler Wetlands,H,L250091,47.4378813,-122.8411134,US-WA,1759
Purgatory Creek Wetlands,H,L422463,44.854226,-93.4422398,US-MN,1728
Old Crow Wetland,H,L651692,40.4880194,-78.0360818,US-PA,1686
Gog-Le-Hi-Te Mitigated Wetlands,H,L284679,47.2515553,-122.4103975,US-WA,1653
Ellis Lake Wetlands,H,L562526,39.3447177,-84.4800836,US-OH,1573
Baker Wetlands--West Restoration,H,L1404666,38.9198707,-95.2486914,US-KS,1565
Smith and Bybee Lakes Wetlands Natural Area,H,L159604,45.6203,-122.7456,US-OR,1510
Hebron Fish Hatchery and Wetlands,H,L467251,39.935013,-82.5143623,US-OH,1408
Walker Avenue Wetlands,H,L304811,40.9257625,-74.2854102,US-NJ,1391
Swan Creek Wetland--Cox Creek DMCF (access by guided tour only),H,L585930,39.1934881,-76.5353537,US-MD,1365
James River Park--The Wetlands,H,L525710,37.5466699,-77.5098753,US-VA,1319
Heckrodt Wetland Reserve (Winnebago Co.),H,L159719,44.2090923,-88.41928,US-WI,1298
Roswell Riverwalk--Azalea & Willeo Rd. Wetlands,H,L2597506,34.0037502,-84.3755794,US-GA,1292
K-Mart Wetlands,H,L553070,46.6114816,-112.0117673,US-MT,1271
3M Wetlands,H,L1803454,38.9290089,-92.3584429,US-MO,1249
Dreibelbis Birding Area (formerly Julian Wetlands),H,L651702,40.8445931,-77.9854202,US-PA,1236
Port Aransas Wetland Park (CTC 059),H,L301943,27.825,-97.071,US-TX,1211
"Hile School Rd. wetland, Dryden",H,L518674,42.5329115,-76.3534811,US-NY,1202
Ken Euers Wetland Preserve,H,L159723,44.55768,-88.03675,US-WI,1172
Tres Rios Overbank Wetlands (permit required),H,L1871151,33.389402,-112.2597653,US-AZ,1137
Jug Bay Wetlands Sanctuary,H,L126629,38.78,-76.709,US-MD,1125
Fernhill Wetlands--Natural Treatment System (ASoP/CWS survey),H,L3543611,45.507174,-123.0879879,US-OR,1109
Prairie Lane Wetlands,H,L288299,40.7445511,-81.9436413,US-OH,1100
Baker Wetlands (general),H,L208634,38.9234094,-95.232861,US-KS,1068
Creston Wetland,H,L2609622,48.200033,-114.1397095,US-MT,1054
John Heinz NWR--wetlands (Delaware Co.),H,L247197,39.8757573,-75.2945638,US-PA,1047
Whalon Lake Forest Preserve--Wetland,H,L521588,41.7145387,-88.0999205,US-IL,1044
Rio Fernando Wetlands (Fred Baca Park and adjacent Rio Fernando Park),H,L1117941,36.3991437,-105.5896854,US-NM,1035
Nygren Wetlands,H,L806229,42.4545831,-89.1079402,US-IL,1021
Glacier Ridge Metro Park--Honda Wetlands,H,L1137897,40.1243893,-83.1819105,US-OH,991
Crooked River Wetlands Complex,H,L5987280,44.3165109,-120.897857,US-OR,966
28th Street wetlands,H,L999181,27.8720862,-82.6715183,US-FL,961
Frog Pond Wetlands Preserve,H,L486208,36.5936124,-121.8348974,US-CA,943
Baker Wetlands--Central,H,L6345970,38.9208977,-95.2328342,US-KS,935
Chuck Hollow Lane Wetland,H,L3009743,35.0685143,-80.8488151,US-NC,908
American Canyon Wetlands,H,L650670,38.1801109,-122.2731047,US-CA,904
Cherry Creek SP--Cottonwood Creek Wetlands,H,L805572,39.6246748,-104.8488443,US-CO,895
Crabtree Creek Wetland--West of Raleigh Blvd.,H,L3198221,35.8068028,-78.6070436,US-NC,887
Damonte Ranch Wetlands--Veterans Pkwy Lake and Wetlands,H,L3192597,39.4202899,-119.7332203,US-NV,868
Lost Creek Wetland (Stevens Point),H,L1280066,44.5334556,-89.4655323,US-WI,856
Lakeshore Park--Gupton Wetland,H,L3709285,35.9254092,-84.5149461,US-TN,855
Cross Creek Ranch wetlands,H,L2508694,29.6986869,-95.8764732,US-TX,852
San Benito Wetlands  (Mayfield Rd.),H,L1673684,26.1739485,-97.6235167,US-TX,852
Harvey-Wangsness Wetland,H,L779520,43.2909044,-89.3047929,US-WI,851
Jackson-Frazier Wetland,H,L744337,44.6057461,-123.2376337,US-OR,847
29 Mile and Omo Rds. mitigated wetlands,H,L4413665,42.7610768,-82.8568697,US-MI,842
Teal Ridge Wetland,H,L219793,36.1000983,-97.0825293,US-OK,840
Cypress Wetlands,H,L1645031,32.3817723,-80.6897702,US-SC,833
Lake Waco Wetlands (PPW-W 028),H,L392281,31.607359,-97.3040521,US-TX,825
Matheson Wetlands Preserve--Main Pond & Boardwalk,H,L689299,38.5778294,-109.5750618,US-UT,824
Cutler Wetlands,H,L466835,25.5584903,-80.3485966,US-FL,821
Marsh Wren Community Wetlands,H,L6302787,40.885676,-96.657642,US-NE,813
West Regional WTF Wetlands,H,L585567,27.6131434,-80.5052376,US-FL,811
Emily Renzel Wetlands,H,L694875,37.4425693,-122.1150649,US-CA,802
Bay Bridge Landing Wetland Park,H,L460190,43.9348658,-69.8880672,US-ME,798
Carson City WWTP Wetlands,H,L868854,39.1638915,-119.7365785,US-NV,795
Bartlett Lake Prairie Wetland,H,L2638508,41.6717477,-88.3521473,US-IL,795
Starkey Wetland,H,L2729411,37.2031626,-80.0018339,US-VA,794
Rockport Demo Bird Garden & Wetlands Pond (CTC 050),H,L453211,28.0483584,-97.042172,US-TX,791
Hamilton Wetlands,H,L2837420,38.0578151,-122.5078261,US-CA,789
Marsh Farm Wetland (private property),H,L3230372,41.7033255,-93.8583255,US-IA,779
Pine Island--Heritage River Road Wetlands/ Carlucci Boat Ramp,H,L5834334,30.3945488,-81.4672916,US-FL,776
Clayton Co. Water Authority--Newman Wetlands Center,H,L325616,33.4724754,-84.3062496,US-GA,772
Burton Wetlands,H,L286492,41.44327,-81.1781985,US-OH,769
Oso Bay Wetlands Preserve,H,L2979766,27.6680951,-97.3299247,US-TX,767
John F Kennedy Causeway Wetlands (CTC 065),H,L579036,27.6560107,-97.2579288,US-TX,758
"Shelburne Pond, Pond Road wetlands (UVM Natural Area)",H,L1457027,44.3764908,-73.1481275,US-VT,753
Miami Whitewater Forest--Shaker Trace Wetlands,H,L210242,39.2782583,-84.7495461,US-OH,747
"Leonora Curtin Wetland Preserve (open on weekends from 9AM to 3PM, May-Oct)",H,L2828346,35.5650743,-106.102438,US-NM,735
Abrams Creek Wetlands Preserve,H,L2399715,39.1762767,-78.1938332,US-VA,733
Butterfield Wetland,H,L4976203,44.5345942,-123.2580936,US-OR,727
Killdeer (Tinley Creek) Wetlands,H,L224192,41.5439,-87.7545,US-IL,726
East Fork SP--Williamsburg Wetland,H,L1094358,39.0322861,-84.0858364,US-OH,722
Broadlands Wetlands Nature Preserve,H,L1420978,39.0103587,-77.5008673,US-VA,712
Canyon Park Wetlands,H,L1122256,47.7944615,-122.2010458,US-WA,709
JI Case Wetland,H,L994574,39.4900658,-87.3170185,US-IN,707
Armstrong Wetland Restoration,H,L8095893,44.1456457,-93.0661988,US-MN,704
Laguna de Santa Rosa Trail-- including Kelly Pond and Laguna Wetlands Preserve,H,L2192531,38.4096167,-122.8124285,US-CA,702
Howell Wetlands Park,H,L444690,37.9616607,-87.6184237,US-IN,691
Curtin Wetland,H,L664183,40.9689465,-77.7511883,US-PA,687
West State St. Park--Little Fish Wetland,H,L4488290,39.3329819,-82.1272445,US-OH,679
Sabine NWR--Wetland Walkway,H,L893042,29.8706337,-93.4581689,US-LA,678
Central Mountain HS Wetlands,H,L1456843,41.1132005,-77.506057,US-PA,668
Yuma West Wetlands,H,L213926,32.7306138,-114.6386325,US-AZ,667
Yuma East Wetlands,H,L497742,32.7207934,-114.6065962,US-AZ,665
Murfree Spring Wetlands at the Discovery Center,H,L10640076,35.839981,-86.389789,US-TN,665
"Sandia Wetlands, Balmorhea",H,L1661754,30.98631,-103.70718,US-TX,662
Russ Ranch Wetlands,H,L1272567,40.5758747,-124.3460763,US-CA,658
Weld CR 59 wetlands,H,L210257,40.3609628,-104.5068109,US-CO,650
Wood River Wetland,H,L686411,42.5807466,-121.9327068,US-OR,633
Patterson Place Constructed Wetland,H,L5079211,35.948085,-78.990487,US-NC,629
Izaak Walton Wetlands,H,L151694,43.995182,-92.53608,US-MN,624
Conesus Inlet WMA--Sliker Hill Rd. dike & wetlands,H,L674319,42.7145597,-77.7100646,US-NY,620
Fairview Wetlands,H,L1215512,44.895153,-123.004434,US-OR,620
Fontenelle Forest--Wetlands,H,L888285,41.1749716,-95.8902168,US-NE,613
Fernhill Wetlands--area outside of NTS (ASoP/CWS survey),H,L3543640,45.5067529,-123.0825162,US-OR,613
Battelle Darby Creek Metro Park--Kuhlwein Rd. Wetlands,H,L1036528,39.9326437,-83.2113075,US-OH,609
EcOhio Farm and Wetland (restricted access),H,L3897351,39.4061633,-84.3022692,US-OH,608
Killin Wetlands,H,L698137,45.6166752,-123.162092,US-OR,602
116th Ave and 8th St. wetland,H,L1765623,42.5359802,-85.6235128,US-MI,597
Sunrise Valley Park (Herndon Monroe Wetland Preserve),H,L1355334,38.9492778,-77.3879861,US-VA,592
Font Hill Wetland Park,H,L515067,39.272159,-76.861067,US-MD,589
Sand Hill Road / Wilson Wetland Preserve,H,L3831165,42.9834436,-72.5238419,US-VT,587
Ketcham's Creek Freshwater Wetland,H,L4166625,40.6689684,-73.4048418,US-NY,586
Sandhill Crane Wetlands,H,L4400936,41.630533,-83.8163817,US-OH,583
Crook St. Wetlands,H,L2712976,41.2639529,-82.0722592,US-OH,572
West Meadow Wetlands Reserve,H,L1166126,40.9327414,-73.1451702,US-NY,571
Ka'elepulu Wetland,H,L285804,21.3748228,-157.7389419,US-HI,570
"PCAC Wetland Overlook Trail EAST, inc. low viewing platform (0.27 mi)",P,L3031252,38.858738,-76.12536,US-MD,569
Killdeer Plains Wildlife Area--Harold Roe Wetland,H,L1817762,40.7176282,-83.3220505,US-OH,563
"PCAC 2014 Wetland (stationary count, anywhere on periphery including walking)",P,L3030227,38.859627,-76.12759,US-MD,561
Great Miami Wetland Mitigation Bank,H,L2034608,39.7776719,-84.3374062,US-OH,560
Pickerel Creek Wildlife Area--Pump House Wetland,H,L3655175,41.4093638,-82.9395332,US-OH,553
