State,Latitude,Longitude,Color
alabama,32.806671,-86.79113,black
alaska,61.370716,-152.404419,black
arizona,33.729759,-111.431221,black
arkansas,34.969704,-92.373123,black
california,36.116203,-119.681564,white
colorado,39.059811,-105.311104,black
connecticut,41.597782,-72.755371,black
delaware,38.69612,-75.30353,black
district of columbia,38.897438,-77.026817,black
florida,28.13689,-81.36876,white
georgia,33.040619,-83.643074,black
hawaii,21.094318,-157.498337,black
idaho,44.240459,-114.478828,black
illinois,40.349457,-88.986137,black
indiana,39.849426,-86.258278,black
iowa,42.011539,-93.210526,black
kansas,38.41824,-98.50292,black
kentucky,37.66814,-84.670067,black
louisiana,31.36681,-92.52462,black
maine,44.693947,-69.381927,black
maryland,39.40387,-76.52337,black
massachusetts,42.37675,-72.12004,black
michigan,43.326618,-84.536095,black
minnesota,45.694454,-93.900192,black
mississippi,32.741646,-89.678696,black
missouri,38.456085,-92.288368,black
montana,46.9226,-109.49248,black
nebraska,41.41552,-99.90958,black
nevada,39.57874,-116.92143,black
new hampshire,43.452492,-71.563896,black
new jersey,40.04971,-74.27951,black
new mexico,34.840515,-106.248482,black
new york,43.04214,-75.64465,black
north carolina,35.630066,-79.806419,black
north dakota,47.528912,-99.784012,black
ohio,40.388783,-82.764915,white
oklahoma,35.565342,-96.928917,black
oregon,43.77535,-120.7458,white
pennsylvania,40.590752,-77.209755,white
rhode island,41.680893,-71.51178,black
south carolina,33.856892,-80.945007,black
south dakota,44.299782,-99.438828,black
tennessee,35.747845,-86.692345,black
texas,31.4043,-99.33815,white
utah,40.150032,-111.862434,black
vermont,44.045876,-72.710686,black
virginia,37.769337,-78.169968,black
washington,47.35484,-120.64448,black
west virginia,38.491226,-80.954453,black
wisconsin,44.268543,-89.616508,black
wyoming,42.755966,-107.30249,black
