eBird Hotspot Name,Locality_ID,Latitude,Longitude,State,Status
Sweetwater Wetlands,L208918,32.278549,-111.022495,US-AZ,C
Green Cay Wetlands & Nature Center,L246929,26.4861584,-80.1607561,US-FL,C
Wakodahatchee Wetlands,L143084,26.4781984,-80.144738,US-FL,C
Fernhill Wetlands (general),L163529,45.5064875,-123.0851855,US-OR,C
Sedona Wetlands Preserve,L1092125,34.829,-111.8964,US-AZ,C
"""Viera"" Ritch Grissom Memorial Wetlands",L376186,28.228577,-80.7604659,US-FL,C
Kachina Wetlands,L264663,35.1096843,-111.6895866,US-AZ,U
Edinburg Scenic Wetlands WBC (LTC 061),L249889,26.2905822,-98.1351909,US-TX,C
Orlando Wetlands Park,L452007,28.5753263,-80.9966826,US-FL,C
KCP&L Wetlands,L209591,38.8014319,-94.9419916,US-KS,C
Las Vegas Urban--Clark County Wetlands Park,L160294,36.1006947,-115.022462,US-NV,U
Ohio State University--Wetlands,L365781,40.0196614,-83.0187035,US-OH,N
Lincoln Saline Wetlands Nature Park,L983536,40.8225945,-96.7281926,US-NE,U
Vanport Wetlands,L714063,45.598966,-122.6880813,US-OR,C
Old Crow Wetland,L651692,40.4880194,-78.0360818,US-PA,C
James River Park--The Wetlands,L525710,37.5466699,-77.5098753,US-VA,N
K-Mart Wetlands,L553070,46.6114816,-112.0117673,US-MT,C
3M Wetlands,L1803454,38.9290089,-92.3584429,US-MO,C
Dreibelbis Birding Area (formerly Julian Wetlands),L651702,40.8445931,-77.9854202,US-PA,C
Baker Wetlands (general),L208634,38.9234094,-95.232861,US-KS,C
Creston Wetland,L2609622,48.200033,-114.1397095,US-MT,N
Whalon Lake Forest Preserve--Wetland,L521588,41.7145387,-88.0999205,US-IL,C
Glacier Ridge Metro Park--Honda Wetlands,L1137897,40.1243893,-83.1819105,US-OH,N
Crooked River Wetlands Complex,L5987280,44.3165109,-120.897857,US-OR,C
28th Street wetlands,L999181,27.8720862,-82.6715183,US-FL,C
Frog Pond Wetlands Preserve,L486208,36.5936124,-121.8348974,US-CA,N
Lost Creek Wetland (Stevens Point),L1280066,44.5334556,-89.4655323,US-WI,N
Cross Creek Ranch wetlands,L2508694,29.6986869,-95.8764732,US-TX,C
San Benito Wetlands  (Mayfield Rd.),L1673684,26.1739485,-97.6235167,US-TX,C
Harvey-Wangsness Wetland,L779520,43.2909044,-89.3047929,US-WI,N
Jackson-Frazier Wetland,L744337,44.6057461,-123.2376337,US-OR,N
Teal Ridge Wetland,L219793,36.1000983,-97.0825293,US-OK,N
Cypress Wetlands,L1645031,32.3817723,-80.6897702,US-SC,N
Lake Waco Wetlands (PPW-W 028),L392281,31.607359,-97.3040521,US-TX,C
Cutler Wetlands,L466835,25.5584903,-80.3485966,US-FL,C
Marsh Wren Community Wetlands,L6302787,40.885676,-96.657642,US-NE,C
West Regional WTF Wetlands,L585567,27.6131434,-80.5052376,US-FL,C
Bartlett Lake Prairie Wetland,L2638508,41.6717477,-88.3521473,US-IL,U
Starkey Wetland,L2729411,37.2031626,-80.0018339,US-VA,C
Rockport Demo Bird Garden & Wetlands Pond (CTC 050),L453211,28.0483584,-97.042172,US-TX,U
Miami Whitewater Forest--Shaker Trace Wetlands,L210242,39.2782583,-84.7495461,US-OH,U
"Leonora Curtin Wetland Preserve (open on weekends from 9AM to 3PM, May-Oct)",L2828346,35.5650743,-106.102438,US-NM,C
Butterfield Wetland,L4976203,44.5345942,-123.2580936,US-OR,U
Canyon Park Wetlands,L1122256,47.7944615,-122.2010458,US-WA,U
JI Case Wetland,L994574,39.4900658,-87.3170185,US-IN,C
Armstrong Wetland Restoration,L8095893,44.1456457,-93.0661988,US-MN,C
Curtin Wetland,L664183,40.9689465,-77.7511883,US-PA,U
West State St. Park--Little Fish Wetland,L4488290,39.3329819,-82.1272445,US-OH,U
Central Mountain HS Wetlands,L1456843,41.1132005,-77.506057,US-PA,C
Murfree Spring Wetlands at the Discovery Center,L10640076,35.839981,-86.389789,US-TN,C
Weld CR 59 wetlands,L210257,40.3609628,-104.5068109,US-CO,C
