eBird.Hotspot.Name,LOCALITY_ID,Latitude,Longitude,State,Status,area_sqkm,County
Sweetwater Wetlands,L208918,32.278549,-111.022495,US-AZ,C,0.13640213901101425,Pima
Green Cay Wetlands & Nature Center,L246929,26.4861584,-80.1607561,US-FL,C,0.4067680922527015,Palm Beach
Wakodahatchee Wetlands,L143084,26.4781984,-80.144738,US-FL,C,0.26823116202172265,Palm Beach
Fernhill Wetlands (general),L163529,45.5064875,-123.0851855,US-OR,C,0.7276537312731258,Washington
Sedona Wetlands Preserve,L1092125,34.829,-111.8964,US-AZ,C,0.23561294946531952,Yavapai
"""Viera"" Ritch Grissom Memorial Wetlands",L376186,28.228577,-80.7604659,US-FL,C,0.6765683676371687,Brevard
Kachina Wetlands,L264663,35.1096843,-111.6895866,US-AZ,U,0.3487249839435853,Coconino
Edinburg Scenic Wetlands WBC (LTC 061),L249889,26.2905822,-98.1351909,US-TX,C,0.17389426879170536,Hidalgo
Orlando Wetlands Park,L452007,28.5753263,-80.9966826,US-FL,C,4.026916400836697,Orange
KCP&L Wetlands,L209591,38.8014319,-94.9419916,US-KS,C,0.23845333097062632,Johnson
Las Vegas Urban--Clark County Wetlands Park,L160294,36.1006947,-115.022462,US-NV,U,0.6890693519532606,Clark
Ohio State University--Wetlands,L365781,40.0196614,-83.0187035,US-OH,N,0.13084715529790147,Franklin
Lincoln Saline Wetlands Nature Park,L983536,40.8225945,-96.7281926,US-NE,U,0.3811462017718926,Lancaster
Vanport Wetlands,L714063,45.598966,-122.6880813,US-OR,C,0.42804367050690206,Multnomah
Old Crow Wetland,L651692,40.4880194,-78.0360818,US-PA,C,0.27216366068418324,Huntingdon
James River Park--The Wetlands,L525710,37.5466699,-77.5098753,US-VA,N,0.12070535552271455,Richmond
K-Mart Wetlands,L553070,46.6114816,-112.0117673,US-MT,C,0.09406008152928949,Lewis and Clark
3M Wetlands,L1803454,38.9290089,-92.3584429,US-MO,C,0.09226079545301571,Boone
Dreibelbis Birding Area (formerly Julian Wetlands),L651702,40.8445931,-77.9854202,US-PA,C,0.09337917689149501,Centre
Baker Wetlands (general),L208634,38.9234094,-95.232861,US-KS,C,4.199211260683335,Douglas
Creston Wetland,L2609622,48.200033,-114.1397095,US-MT,N,0.3193597647611983,Flathead
Whalon Lake Forest Preserve--Wetland,L521588,41.7145387,-88.0999205,US-IL,C,0.22906829707734194,Will
